Name	Artist	Playlist Genre	Year	Popularity
Blinding Lights	The Weeknd	Pop	2019	98.0
Memories	Maroon 5	Pop	2019	98.0
Tusa	KAROL G	Pop	2019	98.0
Don't Start Now	Dua Lipa	Pop	2019	97.0
everything i wanted	Billie Eilish	Pop	2019	97.0
RITMO (Bad Boys For Life)	The Black Eyed Peas	Pop	2019	96.0
bad guy	Billie Eilish	Pop	2019	95.0
HIGHEST IN THE ROOM	Travis Scott	Pop	2019	94.0
My Oh My (feat. DaBaby)	Camila Cabello	Pop	2019	94.0
Ride It	Regard	Pop	2019	94.0
Falling	Trevor Daniel	Pop	2018	97.0
Happier	Marshmello	Pop	2018	89.0
Without Me	Halsey	Pop	2018	88.0
Better Now	Post Malone	Pop	2018	87.0
SICKO MODE	Travis Scott	Pop	2018	87.0
Sweet but Psycho	Ava Max	Pop	2018	87.0
Get You The Moon (feat. Snøw)	Kina	Pop	2018	86.0
God's Plan	Drake	Pop	2018	86.0
High Hopes	Panic! At The Disco	Pop	2018	86.0
Candy	Doja Cat	Pop	2018	85.0
Shape of You	Ed Sheeran	Pop	2017	86.0
XO Tour Llif3	Lil Uzi Vert	Pop	2017	84.0
I Like Me Better	Lauv	Pop	2017	83.0
Young Dumb & Broke	Khalid	Pop	2017	83.0
Chanel	Frank Ocean	Pop	2017	82.0
Wolves	Selena Gomez	Pop	2017	82.0
Best Friend	Rex Orange County	Pop	2017	81.0
Dusk Till Dawn - Radio Edit	ZAYN	Pop	2017	81.0
Let Me Go (with Alesso, Florida Georgia Line & watt)	Hailee Steinfeld	Pop	2017	81.0
Mask Off	Future	Pop	2017	81.0
goosebumps	Travis Scott	Pop	2016	86.0
Closer (feat. Halsey)	The Chainsmokers	Pop	2016	85.0
Congratulations	Post Malone	Pop	2016	84.0
Say You Won't Let Go	James Arthur	Pop	2016	82.0
That's What I Like	Bruno Mars	Pop	2016	82.0
Devil Eyes	Hippie Sabotage	Pop	2016	81.0
Don't Let Me Down	The Chainsmokers	Pop	2016	81.0
Heathens	Twenty One Pilots	Pop	2016	81.0
Cake By The Ocean	DNCE	Pop	2016	80.0
In the Name of Love	Martin Garrix	Pop	2016	80.0
Dancin (feat. Luvli) - Krono Remix	Aaron Smith	Pop	2014	84.0
Photograph	Ed Sheeran	Pop	2014	84.0
No Role Modelz	J. Cole	Pop	2014	82.0
Take Me To Church	Hozier	Pop	2014	80.0
Summer	Calvin Harris	Pop	2014	79.0
A Sky Full of Stars	Coldplay	Pop	2014	78.0
Blank Space	Taylor Swift	Pop	2014	78.0
Riptide	Vance Joy	Pop	2014	78.0
Rude	MAGIC!	Pop	2014	78.0
Say Something	A Great Big World	Pop	2014	78.0
Can't Hold Us - feat. Ray Dalton	Macklemore & Ryan Lewis	Pop	2012	83.0
Just Give Me a Reason (feat. Nate Ruess)	P!nk	Pop	2012	80.0
Titanium (feat. Sia)	David Guetta	Pop	2012	79.0
Hall of Fame	The Script	Pop	2012	78.0
Locked Out of Heaven	Bruno Mars	Pop	2012	78.0
Payphone	Maroon 5	Pop	2012	78.0
What Makes You Beautiful	One Direction	Pop	2012	78.0
Classic	MKTO	Pop	2012	77.0
They Don't Know About Us	One Direction	Pop	2012	77.0
I Knew You Were Trouble.	Taylor Swift	Pop	2012	76.0
Stressed Out	Twenty One Pilots	Pop	2015	83.0
Uptown Funk	Mark Ronson	Pop	2015	82.0
Ride	Twenty One Pilots	Pop	2015	81.0
Sorry	Justin Bieber	Pop	2015	81.0
See You Again (feat. Charlie Puth)	Wiz Khalifa	Pop	2015	80.0
Sugar	Maroon 5	Pop	2015	80.0
Centuries	Fall Out Boy	Pop	2015	79.0
Like I'm Gonna Lose You (feat. John Legend)	Meghan Trainor	Pop	2015	78.0
What Do You Mean?	Justin Bieber	Pop	2015	78.0
How Deep Is Your Love	Calvin Harris	Pop	2015	77.0
All of Me	John Legend	Pop	2013	85.0
Wake Me Up	Avicii	Pop	2013	84.0
Sweater Weather	The Neighbourhood	Pop	2013	81.0
Story of My Life	One Direction	Pop	2013	80.0
Royals	Lorde	Pop	2013	78.0
Hey Brother	Avicii	Pop	2013	77.0
Mirrors	Justin Timberlake	Pop	2013	77.0
Roar	Katy Perry	Pop	2013	77.0
We Can't Stop	Miley Cyrus	Pop	2013	77.0
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit	Daft Punk	Pop	2013	76.0
Mistletoe	Justin Bieber	Pop	2011	84.0
Pumped Up Kicks	Foster The People	Pop	2011	83.0
A Thousand Years	Christina Perri	Pop	2011	79.0
Give Me Everything	Pitbull	Pop	2011	79.0
Someone Like You	Adele	Pop	2011	79.0
Tongue Tied	Grouplove	Pop	2011	78.0
Paradise	Coldplay	Pop	2011	77.0
Somebody That I Used To Know	Gotye	Pop	2011	77.0
Rolling in the Deep	Adele	Pop	2011	76.0
Love You Like A Love Song	Selena Gomez & The Scene	Pop	2011	75.0
Hey, Soul Sister	Train	Pop	2010	82.0
Just the Way You Are	Bruno Mars	Pop	2010	80.0
DJ Got Us Fallin' In Love (feat. Pitbull)	Usher	Pop	2010	78.0
Baby	Justin Bieber	Pop	2010	76.0
Raise Your Glass	P!nk	Pop	2010	76.0
Danza Kuduro	Don Omar	Pop	2010	75.0
On Melancholy Hill	Gorillaz	Pop	2010	75.0
Dynamite	Taio Cruz	Pop	2010	74.0
Moves Like Jagger - Studio Recording From The Voice Performance	Maroon 5	Pop	2010	73.0
